TOTAL DE EMPRESAS,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014
11 - Rondônia,606,600,656,665,709,744,747,765
12 - Acre,144,142,144,150,172,177,186,205
13 - Amazonas,537,550,595,642,667,701,713,697
14 - Roraima,144,148,146,153,161,169,170,186
15 - Pará,1016,1064,1033,1078,1140,1201,1217,1319
16 - Amapá,158,150,149,163,183,187,199,198
17 - Tocantins,320,352,358,379,400,390,402,396
21 - Maranhão,831,805,798,888,956,1004,1045,1044
22 - Piauí,510,519,533,576,606,630,672,684
23 - Ceará,1738,1805,1832,1993,2140,2210,2275,2325
24 - Rio Grande do Norte,863,822,817,882,909,967,1000,976
25 - Paraíba,649,661,690,712,781,782,814,859
26 - Pernambuco,1924,1928,2002,2091,2163,2346,2398,2425
27 - Alagoas,541,536,557,549,576,626,645,697
28 - Sergipe,574,563,558,603,643,648,687,672
29 - Bahia,3172,3136,3210,3320,3470,3487,3530,3627
31 - Minas Gerais,9638,9781,9819,10012,10358,10421,10464,10524
32 - Espírito Santo,1742,1816,1808,1828,1900,1956,2025,2030
33 - Rio de Janeiro,8115,8120,8332,8532,8833,9027,9239,9239
35 - São Paulo,24460,25095,25476,26214,27000,27374,27806,27785
41 - Paraná,6088,6235,6467,6777,6917,6990,7090,7097
42 - Santa Catarina,4747,4860,5031,5089,5222,5217,5276,5249
43 - Rio Grande do Sul,7188,7287,7435,7623,7772,7877,7973,7949
50 - Mato Grosso do Sul,956,935,989,1037,1080,1114,1153,1194
51 - Mato Grosso,1156,1219,1265,1305,1392,1377,1407,1446
52 - Goiás,2293,2318,2406,2566,2676,2759,2882,2933
53 - Distrito Federal,1868,1998,2040,2110,2137,2156,2200,2161
Total,81978,83445,85146,87937,90963,92537,94215,94682
,,,,,,,,
,,,,,,,,
TOTAL DE EMPRESAS,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014
11 - Rondônia,"0,0073922272","0,0071903649","0,0077044136","0,0075622321","0,0077943779","0,0080400272","0,0079286738","0,0080796772"
12 - Acre,"0,0017565688","0,0017017197","0,0016912127","0,0017057666","0,0018908787","0,0019127484","0,0019742079","0,0021651423"
13 - Amazonas,"0,0065505379","0,0065911678","0,0069879971","0,0073006812","0,0073326517","0,0075753482","0,0075677971","0,0073614837"
14 - Roraima,"0,0017565688","0,0017736233","0,0017147018","0,001739882","0,0017699504","0,0018262965","0,0018043836","0,0019644705"
15 - Pará,"0,012393569","0,0127509138","0,0121321025","0,0122587762","0,0125325682","0,0129785923","0,0129172637","0,0139308422"
16 - Amapá,"0,0019273464","0,0017975912","0,0017499354","0,0018535997","0,002011807","0,0020208133","0,0021121902","0,0020912106"
17 - Tocantins,"0,0039034863","0,0042183474","0,0042045428","0,0043099037","0,0043973923","0,0042145304","0,0042668365","0,0041824212"
21 - Maranhão,"0,010136866","0,0096470729","0,0093721373","0,0100981384","0,0105097677","0,0108497142","0,0110916521","0,0110263831"
22 - Piauí,"0,0062211813","0,0062196656","0,006259836","0,0065501439","0,0066620494","0,0068080876","0,0071326222","0,007224182"
23 - Ceará,"0,02120081","0,0216310144","0,0215159843","0,0226639526","0,0235260491","0,023882339","0,0241468981","0,0245558818"
24 - Rio Grande do Norte,"0,0105272146","0,0098507999","0,0095952834","0,0100299078","0,0099930741","0,0104498741","0,0106140211","0,0103081895"
25 - Paraíba,"0,0079167582","0,0079213853","0,0081037277","0,0080967056","0,0085859086","0,0084506738","0,0086398132","0,0090724742"
26 - Pernambuco,"0,0234697114","0,0231050392","0,0235125549","0,0237783868","0,0237788991","0,0253520214","0,0254524227","0,0256120488"
27 - Alagoas,"0,0065993315","0,0064233927","0,0065417048","0,0062431059","0,006332245","0,0067648616","0,0068460436","0,0073614837"
28 - Sergipe,"0,0070018786","0,0067469591","0,0065534494","0,0068571818","0,0070688082","0,0070026044","0,0072918325","0,007097442"
29 - Bahia,"0,038693308","0,0375816406","0,0376999507","0,0377543014","0,0381473786","0,0376822244","0,0374674946","0,0383071756"
31 - Minas Gerais,"0,117568128","0,117214932","0,1153195687","0,1138542366","0,1138704748","0,1126144137","0,111065117","0,1111510108"
32 - Espírito Santo,"0,0212496036","0,0217628378","0,0212341155","0,0207876093","0,0208876136","0,0211374909","0,0214933928","0,0214401893"
33 - Rio de Janeiro,"0,0989899729","0,0973096051","0,0978554483","0,0970240058","0,0971054165","0,0975501691","0,0980629411","0,0975792653"
35 - São Paulo,"0,2983727341","0,3007370124","0,2992037207","0,298099776","0,2968239834","0,2958168084","0,2951334713","0,2934559895"
41 - Paraná,"0,0742638269","0,0747198754","0,0759518944","0,0770665363","0,0760419071","0,0755373526","0,0752534098","0,0749561691"
42 - Santa Catarina,"0,0579057796","0,0582419558","0,0590867451","0,0578709758","0,0574079571","0,056377449","0,0559995754","0,0554382037"
43 - Rio Grande do Sul,"0,087682061","0,0873269818","0,0873206023","0,0866870601","0,0854413333","0,0851227077","0,0846255904","0,0839547116"
50 - Mato Grosso do Sul,"0,0116616653","0,0112049853","0,0116153431","0,0117925333","0,0118729593","0,0120384279","0,0122379664","0,0126106335"
51 - Mato Grosso,"0,0141013443","0,0146084247","0,0148568341","0,0148401697","0,0153029254","0,0148805343","0,0149339277","0,0152721742"
52 - Goiás,"0,027970919","0,0277787764","0,0282573462","0,0291799811","0,0294185548","0,029815101","0,0305896089","0,0309773769"
53 - Distrito Federal,"0,0227866013","0,0239439152","0,0239588472","0,0239944506","0,0234930686","0,0232987886","0,0233508465","0,022823768"
Total,1,1,1,1,1,1,1,1
